login_hour,typing_wpm,quiz_score,time_per_question_sec,session_duration_min,sessions_per_day,attempts_per_quiz,avg_gap_mins,device_type,browser,age_group,gender,ses_tier
20,33.97916165,70.47537768,33.88524897,26.70795403,2.155293186,1.851136672,1.292305013,Shared/Other,Safari,13-15,female,high
22,41.16142564,85.57423509,30.2568043,31.07607574,3.222305853,1.697015741,2.25621021,Shared/Other,In-App,16-18,female,high
13,29.13639092,89.37356328,30.03653186,25.97673236,2.949891792,1.701966877,2.489481674,Shared/Other,Firefox,13-15,male,mid
16,45.14636452,76.49833716,30.70453684,30.57311898,1.750754082,1.038834734,1.258163787,Desktop,Edge,16-18,male,mid
13,49.52356289,75.4557184,26.74199826,33.6308612,2.621905365,1.637429901,2.315228334,Android,Safari,16-18,male,high
14,45.55501256,67.67307799,27.10861543,18.31607349,1.2426189,1.428314475,2.221249752,Android,Safari,16-18,female,mid
22,67.20626617,78.77296265,38.25675493,45.77897135,2.835162239,1.419600062,1.119327474,Shared/Other,Firefox,19-22,male,mid
21,70.32583314,69.50747093,35.48398127,47.74634053,2.394021439,1.649773683,0.62014731,iOS,In-App,19-22,male,low
17,65.02176333,65.18491349,32.31051737,47.55935282,1.211706242,1.642419278,0.566278276,Shared/Other,Firefox,19-22,male,low
20,67.72381161,73.48214905,32.94158603,37.29037738,3.883571691,1.905350642,0.989477837,Android,Edge,19-22,female,mid
14,31.10853787,90.54922677,25.09399832,26.03799131,2.021873708,1.260694528,1.740093636,iOS,In-App,13-15,male,low
11,54.48648674,80.5173701,26.44936021,29.44887821,3.420504218,1.990505142,1.531544192,iOS,Chrome,16-18,male,high
22,62.38782556,66.37384878,33.95296995,50.98776852,2.133186659,1.534327474,1.741402977,Android,In-App,19-22,female,mid
13,68.88999623,94.1231764,35.32613541,38.69856946,2.345336566,1.293210772,1.321661363,Desktop,In-App,19-22,male,mid
16,64.85303873,78.24518316,38.37646625,31.02745629,3.117494452,1.968651944,2.220075025,iOS,Edge,19-22,female,mid
20,58.93469271,70.28961694,31.16024969,26.43214516,1.254513142,1.986639579,1.435676989,Android,Edge,19-22,male,high
9,45.6120311,78.10907566,37.37678108,20.22804936,2.272666028,1.906354385,0.777993706,Desktop,In-App,13-15,female,high
19,45.16910581,69.60254641,22.90019184,28.85431551,2.433144673,1.082891322,1.820925303,Android,Safari,13-15,male,mid
17,35.55722132,73.31929211,31.42587662,29.91752153,3.086233369,1.075434547,0.91553858,Android,Chrome,13-15,male,high
15,71.89802933,79.62724314,24.79574923,24.341912,2.164805152,1.229394746,1.164844812,Android,Chrome,16-18,female,mid
19,29.83742233,66.01585329,32.45959586,16.99694495,3.732781553,1.822537243,2.874499783,Shared/Other,In-App,13-15,male,mid
8,49.26388884,78.40615251,29.93111022,28.02445168,2.13021691,1.7495783,1.482473622,Desktop,Firefox,16-18,female,mid
12,52.18683092,90.16233323,31.56229241,26.60937016,3.83429719,1.849647391,1.118370254,iOS,Chrome,16-18,male,low
8,40.69291902,66.72106921,28.48067782,19.37678954,3.014719587,1.520307701,2.430795979,Desktop,Safari,13-15,female,high
16,62.01243022,81.4537595,36.84315779,49.71570951,3.112239304,1.212964162,0.840928689,Shared/Other,Safari,19-22,female,mid
11,58.8606356,54.70769145,39.80651736,29.04045525,3.731413835,1.297959452,1.80900569,Android,In-App,16-18,male,mid
11,66.53649282,86.22677685,22.7940212,35.18661651,1.720436856,1.075863328,0.822199305,Desktop,Firefox,19-22,female,mid
9,40.97894425,79.67779546,30.07532191,23.54653846,2.805806187,1.223849066,2.554476592,iOS,Edge,13-15,male,mid
21,28.5414324,75.57474003,18.58598755,33.59058876,3.071184486,1.03931214,2.498525997,Android,Firefox,16-18,female,low
22,72.3700004,75.23751482,31.57817988,47.5750771,3.772125277,1.236116533,2.399888522,iOS,Safari,19-22,male,low
23,71.91868356,71.417908,34.50931719,43.11250155,2.191491498,1.104869167,2.343513015,Shared/Other,Safari,19-22,male,low
20,34.39494086,91.87141635,34.40819878,31.44682624,3.367513716,1.498442199,0.71730072,Desktop,Safari,16-18,male,high
11,34.76923761,84.26177548,39.5470832,22.04894152,2.068290178,1.986515249,2.014437048,Android,In-App,16-18,female,mid
20,31.94471822,82.97484204,30.7260203,22.93274381,1.015900019,1.975067163,1.726871948,iOS,Firefox,13-15,male,low
14,79.90364718,69.35442997,24.98976638,39.14236831,2.276309316,1.507610379,1.106024331,Desktop,Chrome,19-22,female,mid
18,49.33920201,57.70419907,36.2085698,21.5228866,2.362803917,1.548603118,1.87230495,iOS,In-App,16-18,female,low
10,73.89878272,80.77072127,28.98477307,25.76909865,3.491858223,1.965026911,0.810743059,Shared/Other,Firefox,16-18,male,low
22,70.85652895,78.37602662,27.94061517,55.80134095,1.60488196,1.163655943,0.910664495,Android,Firefox,19-22,male,low
15,47.29796681,92.72377987,28.00813305,36.63331856,3.699002336,1.624101544,1.849452655,Desktop,Chrome,16-18,male,mid
9,42.13928656,52.10938743,37.16240959,25.47810223,1.998447358,1.730549137,2.234294019,Shared/Other,In-App,13-15,male,high
8,59.70077778,75.71566237,27.61171277,35.04541134,3.287376057,1.876765637,1.355204372,iOS,In-App,16-18,female,mid
11,45.29579971,49.27068759,28.0723088,22.77681221,3.315645942,1.012203072,1.996106753,Shared/Other,Edge,13-15,male,high
15,63.65632975,66.09156658,18.37640169,43.26423365,3.841850019,1.153351403,1.96557458,iOS,Safari,19-22,female,mid
11,51.09394795,87.04970647,33.36212509,35.08036637,2.123306109,1.068921539,0.693302664,iOS,Chrome,16-18,female,low
17,65.66869895,59.16593279,37.07741401,50.94191518,3.232748956,1.205579808,2.469474722,iOS,Chrome,19-22,male,mid
17,34.47618117,71.64215301,38.34510763,29.03708681,1.673814469,1.452439516,0.852142551,Shared/Other,Chrome,13-15,female,mid
13,60.80459869,68.27532151,26.72445116,17.08566332,2.545521047,1.975541316,1.64747247,Shared/Other,Edge,16-18,female,mid
10,41.29135352,76.98084761,29.27819794,18.71627174,1.615418921,1.190687721,0.59137417,iOS,Firefox,16-18,male,low
8,13.79224153,90.91717323,29.91038213,30.45753426,1.308944438,1.334362811,0.68875841,Desktop,Safari,13-15,male,mid
7,42.48542715,58.7747637,31.70494176,31.35777547,1.588339299,1.505507879,1.987622449,Android,In-App,13-15,male,mid
20,33.07739681,87.49805319,32.10162294,23.12589596,3.887947956,1.944409726,0.852704622,iOS,Safari,13-15,male,mid
8,21.64176662,77.27261409,33.73990217,33.82343467,2.007597571,1.825107331,1.40764803,Desktop,Edge,13-15,male,low
12,76.39659297,84.7182269,29.84520875,36.39012521,3.399565768,1.425213504,0.556173271,iOS,Chrome,19-22,female,mid
11,51.70865438,86.03025267,35.75712687,28.71211665,3.467751628,1.529661679,2.537636071,Android,Safari,16-18,male,mid
19,52.56029734,74.01137123,41.48979488,36.87883689,2.719883135,1.838106963,1.510953754,iOS,Safari,16-18,female,mid
11,47.74994097,65.24126747,35.26820898,38.45314519,2.699213921,1.476050402,2.159177913,iOS,In-App,16-18,female,mid
8,52.83558071,100,29.5197005,28.03568789,2.002731672,1.770912204,0.766495633,Android,Chrome,16-18,female,low
9,42.03048564,81.32407739,34.86277225,29.46960421,1.816435412,1.590230667,1.402434742,Shared/Other,Firefox,16-18,female,mid
23,49.16782533,87.84533034,33.44518102,37.73754781,3.172309988,1.63723158,2.951442,iOS,Chrome,19-22,female,low
14,46.89654384,55.47513127,28.60250467,30.80979375,1.361567736,1.731023671,0.981497569,Shared/Other,Safari,16-18,male,mid
18,49.33123676,60.94840078,32.50516672,25.35461834,1.361700657,1.076953202,2.24072194,Shared/Other,Safari,16-18,female,mid
18,82.36373461,76.4529624,38.56786995,41.96554777,2.28045117,1.876665378,1.54376521,Desktop,Safari,19-22,male,low
20,72.69084619,69.8271155,37.0467372,38.28086629,2.439626861,1.627505463,2.684192785,Desktop,Chrome,19-22,male,low
12,54.52843247,56.38651096,28.50130712,47.93657942,3.558465465,1.715553315,1.972771336,Shared/Other,Chrome,19-22,male,mid
20,53.55848995,73.34276947,25.87207578,37.24876014,3.637354923,1.944732022,1.668503778,Android,Safari,19-22,male,low
11,36.33161767,73.71788474,27.49430016,27.46225632,1.110195812,1.957270263,2.565514239,Android,In-App,13-15,male,high
18,56.31446294,89.20504248,27.14626853,47.17689522,3.088061854,1.153895906,2.539582812,iOS,In-App,16-18,female,low
15,28.27911937,60.06170359,26.4197194,25.82348914,2.430030485,1.044376664,2.630483833,iOS,Chrome,13-15,female,mid
13,40.343824,83.84100837,25.24658104,24.02610172,2.487627205,1.081046216,1.050458005,Android,Edge,16-18,female,high
16,55.21545941,93.65003234,34.10241219,22.34565614,2.631336724,1.86449288,2.334774797,Shared/Other,Firefox,13-15,male,high
22,59.42591689,85.6667469,35.84647795,30.49669032,2.855834135,1.75271664,0.896512763,Desktop,In-App,19-22,male,low
23,60.55611958,90.67307867,31.71554541,31.66441013,1.776064992,1.193132865,0.710245561,Desktop,Chrome,19-22,female,low
14,46.0906143,80.38022355,30.23977025,25.30697903,2.025616498,1.632621893,2.830070264,Android,Edge,16-18,male,low
7,38.92335657,56.90041099,34.82507481,21.9810988,2.862746553,1.045742034,2.678842015,Shared/Other,In-App,13-15,female,mid
8,43.70928028,73.68961593,19.8237988,28.82010888,3.311222253,1.683295377,1.614756766,iOS,Safari,16-18,female,mid
22,70.2801734,83.34085719,27.52648316,34.97945776,3.31846834,1.230053683,0.828337816,Desktop,Chrome,19-22,male,mid
19,42.83873079,72.58763942,31.76027698,34.33330587,1.639314112,1.031134083,2.129167063,Shared/Other,Safari,19-22,female,low
14,68.23603229,73.41344504,24.06679241,37.69943564,2.591063181,1.017861892,2.49199457,Shared/Other,In-App,19-22,female,mid
13,84.65735299,61.41728803,28.41951066,55.0103884,2.47478364,1.064208937,1.954928505,Android,Safari,19-22,male,high
15,59.57232417,85.23521522,24.53185527,15.76120673,3.580367192,1.779850989,0.599047063,iOS,Firefox,19-22,male,mid
12,34.97117969,68.90504418,24.26754396,19.20817655,3.327414207,1.941237504,0.68104068,Android,Chrome,13-15,female,low
15,48.37553761,92.97686527,33.20421431,28.92680487,3.401760097,1.200150244,0.918706456,Android,Firefox,19-22,female,low
15,46.80682624,81.98223314,31.96742693,32.618421,3.142260796,1.801728083,1.348625481,Desktop,Firefox,13-15,female,high
18,89.90313047,72.78087547,23.92740522,33.10812182,3.17447968,1.593278648,2.125735465,Android,In-App,19-22,female,mid
12,55.71193921,74.75645408,40.71135179,32.62675879,2.666090653,1.719201778,1.071136853,Shared/Other,Chrome,16-18,male,mid
22,45.87686881,72.42623463,21.65707963,20.11627316,3.604817516,1.72716907,2.356766303,Shared/Other,In-App,16-18,male,low
12,34.38193139,90.68709011,22.28231094,44.01215972,2.793170696,1.792956095,2.137523347,Desktop,Firefox,16-18,female,mid
7,44.97061509,79.01625505,26.57194859,24.36594251,3.727097562,1.179683109,1.093858312,iOS,Safari,13-15,male,mid
21,39.34880124,90.42255946,39.02248544,23.14692834,2.987863837,1.095261508,2.130308114,Android,Chrome,13-15,male,high
11,67.1676548,74.53079421,32.38520414,40.76328092,1.70815139,1.073496747,0.924394763,iOS,In-App,16-18,male,high
8,56.48924211,67.57980258,23.47672302,20.25602564,2.13807577,1.605538158,1.391830133,Shared/Other,In-App,16-18,male,high
20,67.0868965,71.7311922,27.24525943,50.89436709,1.171260568,1.531169528,2.841514231,Android,Chrome,19-22,male,mid
20,35.62908152,66.1889285,38.07979252,15.00899658,2.439691245,1.685967736,0.543449475,Android,Safari,13-15,female,mid
15,39.5413287,86.08182817,24.80047036,42.92993527,1.605560356,1.673432433,2.924780115,Android,In-App,19-22,male,mid
17,58.70067731,73.97155837,29.86602827,33.46977322,1.732441871,1.830877191,2.66152209,Android,Edge,16-18,male,high
20,39.94422969,91.33431532,24.26827303,25.70518328,1.319779091,1.657845305,2.998534314,iOS,Chrome,13-15,female,mid
20,61.85640276,72.55843365,34.82043584,34.92320218,1.981099485,1.667593386,2.519614855,iOS,In-App,19-22,female,high
18,66.44599951,86.09260202,22.68982014,29.71325667,2.829495416,1.563438927,1.451049261,Android,Chrome,19-22,female,mid
15,50.41689037,85.89664865,37.6698906,28.37320625,2.390482131,1.37978578,2.658334124,Shared/Other,Safari,16-18,male,mid
12,36.10427533,73.50012109,21.82852332,18.48220877,2.183095971,1.549414238,2.36718929,Shared/Other,Firefox,16-18,male,low
10,51.29306975,67.46035411,28.59662462,32.66033224,2.457615278,1.256776568,1.212182255,Desktop,In-App,16-18,male,high
10,83.17421075,64.41360651,30.3158273,47.73083189,3.57824738,1.799781095,0.961462824,Desktop,Chrome,19-22,male,mid
8,63.97414703,79.77003719,18.61543651,29.47399083,1.336913033,1.002584015,2.094963014,Android,Edge,16-18,female,low
14,44.19535783,78.16742059,37.54831229,23.4954799,1.766934993,1.302060502,2.329895169,Shared/Other,Edge,13-15,female,low
12,47.55199758,80.24362747,26.32544793,22.10746964,3.588391233,1.2167398,0.739286389,Shared/Other,In-App,16-18,female,high
20,44.42508215,81.66980403,22.25234365,20.41137914,3.027523735,1.442716967,1.614477286,Android,Chrome,16-18,female,mid
13,21.80734133,67.51364686,34.34051571,30.22867566,2.935869513,1.595750728,1.502969785,Android,Firefox,13-15,female,mid
19,54.933833,77.33785912,22.22052177,36.75785582,3.640237263,1.650877369,1.832394466,Android,Safari,16-18,male,mid
9,56.94997901,55.48881525,26.85535554,43.62579986,2.74142502,1.088767394,2.90416434,Android,Chrome,16-18,female,mid
13,16.31541821,64.07687235,28.41795775,22.5035138,3.977450506,1.927000968,1.849892826,Android,In-App,13-15,male,mid
18,37.38441768,82.08108677,34.78351158,30.00963774,1.108481142,1.303128356,1.157781425,iOS,Chrome,13-15,female,low
13,28.21521041,79.49010963,27.34746189,16.99490351,2.723762147,1.566575362,1.477606908,Shared/Other,Chrome,13-15,female,high
10,39.54752805,69.53739829,34.90534327,27.99797057,1.068681475,1.15379115,1.059036086,iOS,Edge,13-15,male,high
22,30.30852714,99.64877636,28.49929858,28.47224185,3.294429403,1.174838627,1.756415191,Android,Chrome,16-18,female,high
20,34.18742429,80.0775767,30.26994209,30.25277123,2.297493635,1.311816133,1.765354657,iOS,In-App,16-18,male,low
9,47.24600666,86.43987919,19.92200282,31.09380926,1.575347367,1.211755351,1.711503968,iOS,In-App,13-15,male,mid
14,42.90873615,71.11823181,30.85208111,35.98122439,2.528266384,1.996696854,2.534925674,Desktop,Edge,16-18,male,low
11,39.5602716,92.14527068,24.70307228,28.53727659,2.062708721,1.525504622,1.704087116,Desktop,In-App,16-18,female,mid
13,47.67328091,83.63100226,26.01779909,22.6746544,1.411329117,1.535310131,1.03800468,Android,Safari,16-18,male,high
9,34.87752121,83.16117436,23.45975739,27.8964575,2.498001505,1.266019278,0.873094445,iOS,Edge,13-15,female,high
22,70.31367657,89.71170327,28.95338161,52.05926808,3.676254067,1.955334687,2.467258466,Android,Chrome,19-22,female,low
18,49.11657341,50.68286429,29.51345906,36.44944722,2.350373297,1.226964694,2.72347729,Desktop,In-App,16-18,male,mid
15,33.16813711,82.93056381,36.1387613,25.45021419,3.406391674,1.105367534,0.588927168,Shared/Other,In-App,13-15,female,mid
17,43.89110108,77.82543526,26.46073662,38.36172312,3.293117987,1.265046428,0.552362403,Shared/Other,Edge,16-18,female,mid
18,62.46396697,69.16642028,30.1929597,38.82599141,3.905466333,1.798714192,1.232055092,Shared/Other,Safari,19-22,male,mid
18,55.38296079,66.70962542,31.0085028,37.50755136,2.12797867,1.55009194,1.471631997,iOS,Edge,16-18,female,mid
9,37.45925358,62.87542721,35.67742508,29.07868606,3.63780598,1.25843162,1.860041448,Android,In-App,13-15,male,low
17,24.65153089,86.24798645,26.00302962,26.17068774,1.807993895,1.53955622,2.319867942,iOS,In-App,13-15,female,high
19,38.03902768,78.08833013,38.51107472,29.72182767,2.771043071,1.508360547,1.243871128,Desktop,In-App,16-18,female,low
16,25.45476283,72.90976743,25.74739773,23.83553293,3.400212906,1.204035635,1.887712373,Shared/Other,Firefox,13-15,female,mid
16,33.92786267,78.1249168,31.59666595,25.07344097,1.033094843,1.749545484,2.396690975,Shared/Other,Firefox,13-15,female,mid
22,52.1449502,87.10739539,33.09518599,40.05852337,1.651627293,1.137822899,2.157605011,iOS,In-App,19-22,male,high
13,23.44354045,97.14251523,28.51991386,16.69360253,1.194560783,1.579983787,1.90371147,Shared/Other,Safari,13-15,male,low
10,60.90274506,73.29815377,27.73385975,20.05310807,3.354690931,1.707680935,2.471537412,Shared/Other,Firefox,16-18,male,mid
11,41.56739396,82.73099942,34.41107891,29.05329973,1.898330531,1.173480074,2.093883161,Shared/Other,Firefox,16-18,male,low
17,53.03780309,76.40886247,21.15780317,20.36315922,1.896176721,1.940679245,1.148241897,iOS,Safari,16-18,female,high
14,62.69466737,84.09216166,37.14015743,53.90499781,1.149526083,1.90391333,2.77347548,Shared/Other,Chrome,19-22,male,high
10,32.80617314,78.53482906,30.60752506,20.00343621,1.206874049,1.057054721,1.205467687,Shared/Other,Firefox,13-15,male,low
15,26.44599525,69.73921968,29.92990231,15.31740633,1.18795961,1.906437453,0.848113428,Shared/Other,Safari,13-15,female,mid
14,50.66990717,86.59791245,28.11542887,33.61157452,3.363139047,1.624425446,1.736202828,Android,Safari,16-18,female,mid
11,24.8424801,58.84868184,35.82369677,19.63266161,1.342287355,1.151246829,1.063292325,iOS,Chrome,13-15,male,mid
15,61.45350512,96.73738373,34.7016081,41.52315514,1.678441155,1.846918728,1.571576367,Android,Safari,19-22,female,mid
14,48.76821785,67.89239896,30.36885054,37.83484061,2.537507946,1.806403617,1.648099694,Shared/Other,Firefox,16-18,male,low
23,59.20707773,78.57624259,25.8134046,30.46671392,1.484859434,1.255493345,2.866594885,Shared/Other,Safari,19-22,male,low
21,61.77838076,73.19520086,45.96553784,33.03060255,1.3164211,1.656780105,2.555257902,iOS,Firefox,19-22,female,mid
21,43.03077862,66.88786786,34.67154873,42.00651804,1.937047306,1.642674658,0.989602031,iOS,Safari,19-22,male,high
9,41.67045871,100,30.91403455,22.86122156,1.100150805,1.363693125,2.331588087,Shared/Other,Firefox,13-15,female,mid
8,41.40659716,77.65056045,29.77486589,37.99669601,3.003759996,1.634671273,0.914887238,iOS,Safari,16-18,female,mid
16,61.87386052,69.97896996,32.79345483,48.12694549,2.137081379,1.97345739,1.342101255,Android,Edge,16-18,male,low
17,49.06476183,87.96994547,29.88565969,50.83178597,2.005624142,1.173761593,2.280035051,Shared/Other,Safari,19-22,female,low
16,29.69828983,63.57869351,40.07439281,14.85163066,2.731749192,1.738069123,2.515489703,iOS,Firefox,13-15,male,low
19,61.94674144,65.7686739,32.51909209,22.15033553,2.965847229,1.991742617,0.681677179,Shared/Other,Firefox,16-18,female,low
21,60.28682611,73.01260964,31.50077792,20.78275807,3.422188091,1.05909389,2.74711847,Desktop,Chrome,16-18,male,mid
23,46.26930917,76.40828427,35.50298803,25.71969167,2.141201647,1.976800329,0.776801483,Shared/Other,Chrome,19-22,male,low
9,40.67561454,83.43414309,32.47606477,22.82256815,3.94539608,1.621344497,1.897962017,Shared/Other,Chrome,13-15,female,mid
14,37.93829851,57.99795125,32.64151517,34.19091838,3.473604424,1.074240873,1.065878736,iOS,Chrome,13-15,male,high
15,42.60246074,87.38632048,30.57355309,33.55306686,1.855871015,1.429182593,1.169441689,iOS,Safari,13-15,female,high
12,49.36776544,84.7519763,32.50547085,19.34930643,3.636936701,1.571772352,1.793615879,Desktop,Edge,16-18,male,mid
15,53.16033218,91.12278258,36.57457227,35.31417068,2.775091487,1.702633773,1.093583671,Desktop,Edge,19-22,male,mid
8,38.39387408,78.53207395,29.90107342,25.71669584,1.806876837,1.40697191,2.728700039,iOS,Chrome,13-15,male,mid
15,33.51867817,72.79805373,19.66072637,17.035986,1.588293138,1.610780071,1.201708039,Shared/Other,Chrome,13-15,female,mid
12,46.90790923,60.49288082,28.41623335,24.73490516,2.190390541,1.044387772,1.194555182,Shared/Other,In-App,16-18,male,low
13,36.56300227,94.01190686,29.69669593,29.96230416,3.978450517,1.13148912,1.186828814,Android,Edge,13-15,female,high
10,75.09791245,70.16938948,30.73396506,28.3455733,1.772821661,1.0595247,2.009488632,iOS,Safari,19-22,female,high
18,27.89481683,84.19747614,30.56959814,23.46559426,2.212719189,1.321081097,2.374626911,iOS,In-App,13-15,male,mid
19,52.06724047,79.51632702,24.62550471,35.3125702,3.222943751,1.529991523,2.572544331,iOS,Safari,16-18,female,mid
16,56.42487899,73.25362148,22.57488921,22.57174412,3.450169608,1.067384555,1.468481464,Desktop,Safari,13-15,male,mid
19,52.6236238,80.28068368,32.44345976,37.35835808,3.572687013,1.916635236,1.577463051,Shared/Other,Firefox,16-18,female,low
14,60.32546204,62.33105528,30.22129693,37.88693596,2.93722153,1.044778451,2.40476705,Desktop,Edge,16-18,female,mid
8,54.36425129,84.64851633,38.07791412,39.28439539,2.093781185,1.217892554,2.970089915,Android,Edge,16-18,male,mid
19,35.22361164,70.63614109,29.45195098,27.09093539,1.092867373,1.38798676,0.900062341,iOS,Firefox,13-15,male,high
18,31.69032666,81.96954405,28.33090255,30.35447616,2.808828629,1.82670736,2.960032908,Android,Firefox,13-15,male,mid
14,71.34749524,100,20.97197264,19.61038723,1.505010868,1.246907427,2.596373037,Desktop,Safari,19-22,male,mid
14,89.39952523,75.61115609,32.46975936,40.85353619,2.041831117,1.580467601,0.847991753,Desktop,In-App,19-22,male,mid
17,61.00959635,92.1885049,28.56446654,43.70843218,1.443952442,1.852557782,2.277211792,iOS,Firefox,16-18,male,mid
12,30.24315333,78.0805054,28.04175716,14.51052279,1.374462442,1.794210663,1.189418921,iOS,Safari,13-15,female,mid
15,64.83833814,57.26967532,36.3096075,43.90522898,1.857350667,1.203223091,2.404495478,Desktop,Firefox,19-22,male,low
22,61.9395626,87.80734459,31.9091953,27.64171522,2.429450151,1.99612295,0.648678922,Android,Chrome,16-18,female,mid
12,38.97719678,98.33244404,30.96141337,24.05056318,3.77914782,1.019116094,1.692108671,Android,Firefox,16-18,male,low
18,78.01432456,66.05650087,26.58020249,44.89940583,3.872344057,1.008863285,2.994552139,Shared/Other,Safari,19-22,female,mid
10,73.70114944,76.80583207,30.72619358,45.16178287,3.100102818,1.10440413,1.49775047,iOS,Edge,19-22,male,low
20,51.06787193,67.84083149,31.68080023,29.05661995,3.526223312,1.242231218,1.69564971,iOS,Safari,16-18,male,low
16,61.6506983,73.45075398,33.50368143,50.27704407,3.718333006,1.321495701,1.691092466,Android,Chrome,19-22,male,mid
13,63.60658596,80.98057696,25.75306542,20.83825721,3.600800405,1.453946848,2.553579979,iOS,Edge,16-18,female,high
22,42.3301339,85.60209907,43.79830019,22.76129167,1.428627884,1.77534615,1.178523451,Desktop,Safari,16-18,male,mid
21,28.42064054,80.60306441,26.92185663,30.60515334,3.145116157,1.593485763,2.739316815,Shared/Other,Safari,13-15,male,mid
16,48.30550763,70.23779126,34.3719459,31.04718235,3.366797415,1.891872145,1.584543549,Android,Edge,16-18,female,mid
16,57.38080375,80.22243681,25.91798007,30.77622635,2.999156241,1.966047505,2.402594476,Android,Edge,16-18,male,low
19,72.3892538,74.96492008,25.14998016,52.03884437,2.15536036,1.865820165,1.689919328,Shared/Other,Safari,19-22,male,low
12,47.13608127,78.26744765,31.5023718,32.2919384,1.635982164,1.657353482,1.68070451,Shared/Other,Chrome,16-18,male,mid
13,73.0746346,66.30336919,35.62717392,38.3558356,2.934497812,1.395130908,2.283017208,iOS,Chrome,19-22,male,mid
14,44.0738226,64.17632661,33.94274309,41.19018406,3.733206108,1.83826536,2.273457418,iOS,Safari,19-22,male,low
19,32.96080124,80.3806172,29.79159599,27.21806961,2.55709684,1.677542267,1.279659645,Shared/Other,Chrome,13-15,male,mid
13,47.62304875,56.12175161,26.37433453,31.34564335,2.025411116,1.739026558,1.058158464,Android,Edge,16-18,male,high
14,40.36175918,70.28140406,28.0123509,28.38483194,3.698365638,1.710135432,2.843446095,iOS,Edge,13-15,female,low
14,51.51618827,80.37090833,30.25813188,30.17798692,1.226815122,1.365680748,1.06345317,Shared/Other,Safari,16-18,female,low
21,75.84138843,86.22863954,32.58771888,40.60608836,3.842185749,1.337340141,2.312452925,Android,Chrome,19-22,male,high
15,34.29006644,58.92338973,30.92370289,29.89043557,2.501810713,1.679620333,0.690598045,iOS,Safari,16-18,female,mid
15,60.87195184,79.47861748,31.85547026,31.27287326,1.725931391,1.960626976,0.992314261,Desktop,Edge,16-18,male,low
18,45.82250778,66.77568423,36.58479418,44.62172666,3.094933472,1.395205926,2.88224199,iOS,In-App,19-22,female,mid
10,62.10906506,77.3215595,23.98433699,24.5434986,3.314880733,1.498895665,0.530257792,iOS,Edge,19-22,male,mid
19,37.49592266,75.60321915,23.38364488,34.23160728,3.424826319,1.253821078,1.114518598,Android,Firefox,16-18,male,high
18,64.91359945,68.50626962,36.60652016,46.15030194,2.177374559,1.754264973,2.79606608,Android,Firefox,19-22,female,low
8,44.95750437,62.88828071,33.6538206,15.4191641,1.574778837,1.918239087,0.754509207,iOS,Firefox,13-15,female,mid
19,36.71123095,71.35450853,22.69221911,24.05293165,3.157479691,1.563324642,1.568754578,Shared/Other,Safari,13-15,male,low
16,82.04308319,71.39108581,12.64285054,34.65284392,1.614040327,1.591130303,0.965339744,Desktop,Edge,19-22,male,low
